configuration_number,vectorizer_param,model_param,f1
90,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6823784869639324
91,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.6518002454050597
92,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6822041442395401
93,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6514382592882579
94,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6822041442395401
95,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6507752579707797
96,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6820502168922755
97,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.5740141380564671
98,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.696795835054798
99,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.5733584277345882
100,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6966841139715677
101,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.5730474953082142
102,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.696681038494138
103,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': None, 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.5722031606713971
