configuration_number,vectorizer_param,model_param,f1
63,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7587989357375153
64,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
65,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587989357375153
66,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588229027340656
67,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7587989357375153
68,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
69,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587989357375153
70,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7588229027340656
71,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7587989357375153
72,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 50, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
